time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-01T04:00:24.335Z,-6.9332,106.7791,113.044,5.3,mb,113,33,1.012,0.94,us,us6000lc08,2023-12-05T21:43:29.040Z,"",earthquake,7.34,4.938,0.044,171,reviewed,us,us
2023-09-30T06:33:43.391Z,-9.0912,105.4816,10,4.9,mb,61,57,1.366,0.68,us,us6000lbvl,2023-10-14T04:50:18.040Z,"260 km SSW of Pelabuhanratu, Indonesia",earthquake,7.12,1.858,0.079,50,reviewed,us,us
2023-09-20T20:05:07.489Z,-7.0738,105.5683,69.611,4.2,mb,22,137,2.046,1.14,us,us7000ky5z,2023-12-02T23:01:12.040Z,"82 km SSW of Labuan, Indonesia",earthquake,4.83,7.153,0.159,11,reviewed,us,us
2023-09-13T05:34:33.417Z,-5.754,110.1746,650.655,5,mb,131,17,1.314,0.83,us,us7000kvfm,2023-11-18T22:29:33.040Z,"100 km NW of Batang, Indonesia",earthquake,7.34,5.56,0.042,179,reviewed,us,us
2023-09-05T14:35:53.061Z,-8.5443,108.8687,65.637,4.2,mb,28,66,1.616,0.93,us,us7000kteb,2023-11-17T19:47:49.040Z,"91 km S of Cilacap, Indonesia",earthquake,5.16,6.715,0.159,11,reviewed,us,us
2023-08-23T19:52:55.308Z,-8.582,111.6596,62.115,4.2,mb,25,113,1.944,0.82,us,us7000kqhr,2023-10-28T19:15:36.040Z,"Java, Indonesia",earthquake,9.43,7.805,0.141,14,reviewed,us,us
2023-08-18T18:29:15.789Z,-8.9583,111.0824,16.286,4.4,mb,42,44,2,0.89,us,us7000kpb8,2023-10-27T21:39:04.040Z,"118 km S of Jatiroto, Indonesia",earthquake,6.75,4.209,0.106,32,reviewed,us,us
2023-08-18T13:41:07.611Z,-9.0068,111.0328,37.838,4.2,mb,28,74,2.031,0.49,us,us7000kp9a,2023-10-27T21:39:03.040Z,"",earthquake,6.27,7.841,0.132,16,reviewed,us,us
2023-08-17T04:28:48.151Z,-7.4965,105.5471,54.787,5.4,mww,146,43,2.085,0.65,us,us7000knxb,2023-10-27T21:39:02.040Z,"124 km WSW of Pelabuhanratu, Indonesia",earthquake,7.35,5.401,0.078,16,reviewed,us,us
2023-08-13T19:06:20.182Z,-5.8373,106.4748,218.071,4.2,mb,18,138,1.992,0.6,us,us7000kqhe,2023-10-27T21:39:05.040Z,"33 km NNW of Sepatan, Indonesia",earthquake,9.9,8.953,0.167,10,reviewed,us,us
2023-08-10T03:03:50.392Z,-5.561,106.4348,271.678,4.1,mb,17,140,1.717,0.44,us,us7000kp0m,2023-10-17T22:01:29.040Z,"63 km N of Kresek, Indonesia",earthquake,13.23,8.062,0.197,7,reviewed,us,us
2023-08-09T23:10:16.067Z,-8.8463,107.7787,25.801,4.4,mb,21,112,1.381,1.04,us,us7000knzi,2023-10-17T22:01:29.040Z,"168 km SSW of Kawalu, Indonesia",earthquake,6.17,5.536,0.155,12,reviewed,us,us
2023-08-05T04:15:59.319Z,-7.9279,107.2712,54.615,4.5,mb,38,63,0.596,1.24,us,us6000ky14,2023-10-07T21:38:58.040Z,"82 km SSW of Banjar, Indonesia",earthquake,7.25,1.448,0.127,19,reviewed,us,us
2023-07-25T13:56:24.795Z,-5.6108,110.1019,556.485,4.7,mb,124,26,2.75,0.65,us,us7000ki7m,2023-09-30T21:36:40.040Z,"117 km NW of Batang, Indonesia",earthquake,9.99,5.701,0.052,113,reviewed,us,us
2023-07-23T12:33:29.354Z,-8.6271,111.1186,96.623,5.1,mb,80,44,1.706,0.6,us,us7000khss,2023-09-30T21:36:38.040Z,"Java, Indonesia",earthquake,7.19,5.556,0.052,120,reviewed,us,us
2023-07-21T22:41:40.913Z,-7.9804,107.4013,54.701,4.4,mb,28,82,0.57,0.46,us,us6000kw8l,2023-09-28T21:33:17.040Z,"86 km S of Banjar, Indonesia",earthquake,7.73,5.987,0.131,17,reviewed,us,us
2023-07-08T11:35:20.597Z,-8.7524,111.9111,72.31,4.3,mb,29,105,2.233,0.78,us,us7000kfqz,2023-09-09T21:55:19.040Z,"70 km S of Boyolangu, Indonesia",earthquake,9.4,7.52,0.129,19,reviewed,us,us
2023-07-05T13:33:25.810Z,-7.872,105.8935,23.495,4.5,mb,32,112,1.788,0.95,us,us7000kfee,2023-09-09T21:55:14.040Z,"121 km SW of Pelabuhanratu, Indonesia",earthquake,5.16,5.554,0.128,18,reviewed,us,us
2023-06-30T12:57:42.414Z,-8.6478,110.0229,76.421,5.9,mww,159,41,1.641,0.84,us,us6000kp2e,2023-09-08T14:18:30.040Z,"82 km SSW of Bambanglipuro, Indonesia",earthquake,5.48,3.285,0.061,26,reviewed,us,us
2023-06-27T13:32:55.741Z,-7.0095,105.1986,21.034,4.5,mb,24,87,2.473,0.84,us,us6000kqhe,2023-09-08T14:18:35.040Z,"98 km SW of Labuan, Indonesia",earthquake,9.96,5.523,0.15,14,reviewed,us,us
2023-06-27T03:48:02.855Z,-8.3358,108.7915,77.217,4,mb,19,72,1.425,0.63,us,us6000kqh5,2023-09-08T14:18:35.040Z,"71 km SSW of Cilacap, Indonesia",earthquake,7.56,3.824,0.183,8,reviewed,us,us
2023-06-07T21:06:12.306Z,-7.8928,107.331,64.966,4.3,mb,24,111,0.532,0.59,us,us7000k8ez,2023-08-12T17:15:21.040Z,"",earthquake,9.57,6.022,0.143,14,reviewed,us,us
2023-06-07T17:04:55.412Z,-8.8517,110.7921,18,5.6,mww,105,27,3.344,1.01,us,us7000k6xu,2023-08-12T17:15:07.040Z,"146 km S of Wonosari, Indonesia",earthquake,8.06,1.68,0.089,12,reviewed,us,us
2023-06-06T07:23:06.974Z,-7.651,107.0857,55.528,4.8,mb,59,44,0.59,0.7,us,us7000k6kz,2023-08-12T17:15:04.040Z,"63 km SW of Banjar, Indonesia",earthquake,6.14,4.579,0.079,49,reviewed,us,us
