time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-27T18:45:48.104Z,-7.6972,108.1314,84.056,4.4,mb,30,96,1.009,0.62,us,us7000j35q,2023-03-07T19:00:07.040Z,"35 km SSW of Kawalu, Indonesia",earthquake,9.07,2.695,0.117,23,reviewed,us,us
2022-12-21T21:18:27.016Z,-7.0372,108.4609,11.692,4.2,mb,9,142,1.965,0.63,us,us7000j41n,2023-02-28T23:06:41.040Z,"",earthquake,8.21,6.402,0.263,4,reviewed,us,us
2022-12-19T19:04:32.370Z,-6.9179,105.3723,35,4.5,mb,34,159,2.228,0.62,us,us7000j0hp,2023-02-28T23:06:30.040Z,"Sunda Strait, Indonesia",earthquake,7.36,1.924,0.131,17,reviewed,us,us
2022-12-16T21:50:49.953Z,-6.2443,105.0176,35,4.9,mb,57,95,2.778,0.73,us,us6000j9uv,2023-02-18T22:04:18.040Z,"91 km W of Labuan, Indonesia",earthquake,8.06,1.898,0.072,60,reviewed,us,us
2022-12-15T22:47:08.511Z,-6.8594,105.1963,33.415,4.5,mb,40,125,3.337,0.5,us,us6000jakb,2023-02-18T22:04:20.040Z,"87 km SW of Labuan, Indonesia",earthquake,5.07,5.684,0.131,17,reviewed,us,us
2022-12-08T00:50:55.572Z,-6.7109,107.1456,107,5.8,mww,214,17,3.289,0.79,us,us6000j7r0,2023-06-26T12:49:02.534Z,"17 km NW of Ciranjang-hilir, Indonesia",earthquake,7.64,1.888,0.052,35,reviewed,us,us
2022-12-03T09:49:40.213Z,-7.2331,107.6139,120,5.6,mww,126,50,0.231,0.51,us,us6000j6k5,2023-02-11T23:03:03.040Z,"20 km ESE of Banjar, Indonesia",earthquake,8.36,1.857,0.089,12,reviewed,us,us
2022-12-02T20:37:23.791Z,-7.8264,108.0896,86.724,4.4,mb,48,56,1.103,0.68,us,us6000j6f5,2023-02-05T23:26:09.040Z,"50 km SSW of Kawalu, Indonesia",earthquake,8.33,6.09,0.094,37,reviewed,us,us
2022-11-30T09:16:23.049Z,-8.3202,107.1168,45.589,4,mb,19,116,1.002,0.68,us,us6000j72m,2023-02-05T23:25:30.040Z,"Java, Indonesia",earthquake,6.75,5.48,0.164,10,reviewed,us,us
2022-11-27T02:10:55.208Z,-7.9695,108.2488,76.311,4.5,mb,56,50,0.778,0.67,us,us7000isn0,2023-02-05T23:24:11.040Z,"Java, Indonesia",earthquake,7.03,4.56,0.086,43,reviewed,us,us
2022-11-22T14:53:59.753Z,-7.9919,106.6302,30.421,4.6,mb,19,117,1.517,0.57,us,us7000isdp,2023-01-30T06:00:58.040Z,"111 km S of Pelabuhanratu, Indonesia",earthquake,6.93,6.389,0.181,9,reviewed,us,us
2022-11-21T06:21:07.066Z,-6.836,106.9968,10,5.6,mww,154,40,0.899,0.37,us,us7000ir9t,2023-12-02T02:13:10.440Z,"11 km NE of Sukabumi, Indonesia",earthquake,5.06,1.803,0.063,24,reviewed,us,us
2022-11-19T18:28:30.196Z,-7.7701,107.9887,69.988,5,mww,179,36,0.454,0.67,us,us7000ir0i,2023-01-30T06:00:13.040Z,"48 km SSW of Singaparna, Indonesia",earthquake,5.84,3.671,0.098,10,reviewed,us,us
2022-11-15T17:22:07.893Z,-6.8267,105.4276,33.901,4.9,mww,109,53,3.472,0.69,us,us7000ipww,2023-01-28T19:58:17.040Z,"66 km SW of Labuan, Indonesia",earthquake,6.9,4.135,0.089,12,reviewed,us,us
2022-11-15T17:21:10.551Z,-7.1106,105.2314,53.004,4.6,mb,90,52,2.383,0.75,us,us7000ipwy,2023-01-28T19:58:17.040Z,"104 km SW of Labuan, Indonesia",earthquake,6.58,4.845,0.07,71,reviewed,us,us
2022-11-13T15:41:12.217Z,-6.4552,107.4333,12.035,4.1,mb,22,97,0.407,0.37,us,us7000iqhu,2023-01-28T19:58:23.040Z,"4 km SSW of Cikampek, Indonesia",earthquake,6.49,4.453,0.145,15,reviewed,us,us
2022-11-13T15:10:21.938Z,-8.9501,108.8343,39.775,5.2,mww,70,101,1.963,0.67,us,us7000ipgw,2023-01-28T19:58:12.040Z,"152 km SSW of Kroya, Indonesia",earthquake,8.06,5.81,0.093,11,reviewed,us,us
2022-11-12T13:18:47.398Z,-8.0496,107.418,55.403,5.2,mww,84,54,0.627,0.6,us,us7000ipau,2023-01-28T19:58:09.040Z,"94 km S of Banjar, Indonesia",earthquake,6.35,3.266,0.098,10,reviewed,us,us
2022-11-12T12:29:32.918Z,-8.0937,107.2903,52.975,4.7,mb,66,45,0.721,0.59,us,us7000ipam,2023-01-28T19:58:09.040Z,"100 km S of Banjar, Indonesia",earthquake,7.4,5.557,0.073,57,reviewed,us,us
2022-11-05T21:51:13.643Z,-7.5514,106.9641,70.899,4.4,mb,26,165,0.686,0.76,us,us7000ims2,2023-01-21T19:27:09.040Z,"64 km SW of Banjar, Indonesia",earthquake,9.6,7.632,0.12,20,reviewed,us,us
2022-10-31T03:05:58.882Z,-7.3962,107.0816,69.253,4.9,mb,59,42,0.568,0.5,us,us7000ileq,2023-01-12T23:10:43.040Z,"44 km WSW of Banjar, Indonesia",earthquake,8.95,4.936,0.063,80,reviewed,us,us
2022-10-29T01:02:47.908Z,-7.9169,109.2043,89.807,4.4,mb,35,46,1.306,0.63,us,us7000il3d,2023-01-12T23:10:27.040Z,"31 km S of Kroya, Indonesia",earthquake,7.36,6.144,0.126,21,reviewed,us,us
2022-10-09T10:02:46.959Z,-6.8688,106.1694,62.714,4.9,mb,72,72,1.583,0.7,us,us6000is90,2023-03-16T04:22:21.819Z,"",earthquake,7.25,5.985,0.074,57,reviewed,us,us
2022-10-09T03:43:41.289Z,-7.9955,109.0697,78.38,4.2,mb,30,93,1.442,0.76,us,us6000is7k,2022-12-17T22:53:45.040Z,"44 km SSW of Kroya, Indonesia",earthquake,6.25,6.758,0.132,18,reviewed,us,us
2022-10-01T18:39:05.637Z,-6.8668,105.8876,14.709,4.3,mb,29,127,1.715,0.81,us,us6000irk0,2022-12-10T22:53:32.040Z,"54 km S of Labuan, Indonesia",earthquake,6.49,4.078,0.138,16,reviewed,us,us
2022-09-19T16:37:04.457Z,-7.7489,109.6693,114.824,4.2,mb,41,52,0.861,0.49,us,us7000ib50,2022-11-26T20:58:01.040Z,"23 km SE of Gombong, Indonesia",earthquake,7.38,6.378,0.115,23,reviewed,us,us
2022-09-17T06:24:59.047Z,-7.16,105.1422,24.613,5,mb,39,119,2.506,0.9,us,us7000i8rv,2022-11-26T20:57:32.040Z,"",earthquake,6.22,5.189,0.113,25,reviewed,us,us
2022-09-08T03:25:13.564Z,-8.1948,108.2011,56.118,4.4,mb,16,99,0.91,0.41,us,us7000i8a1,2022-11-15T19:06:19.040Z,"89 km S of Kawalu, Indonesia",earthquake,6.56,8.93,0.203,7,reviewed,us,us
2022-09-07T03:43:56.387Z,-7.8907,106.9672,35,4,mb,14,80,0.799,0.72,us,us7000i819,2022-11-15T19:06:18.040Z,"92 km SSW of Banjar, Indonesia",earthquake,4.31,1.97,0.183,8,reviewed,us,us
2022-09-04T10:28:17.829Z,-7.3507,105.9509,49.426,4,mb,25,127,3.091,0.64,us,us7000i7dm,2022-11-15T19:06:14.040Z,"77 km WSW of Pelabuhanratu, Indonesia",earthquake,8.14,5.668,0.196,8,reviewed,us,us
2022-08-25T02:48:49.689Z,-7.6401,106.661,45.444,4.3,mb,20,102,0.996,0.36,us,us7000i4m3,2022-11-01T15:14:42.040Z,"73 km S of Pelabuhanratu, Indonesia",earthquake,8.32,8.086,0.201,7,reviewed,us,us
2022-08-14T01:46:08.738Z,-8.3671,108.6747,107.766,4.4,mb,19,76,1.356,0.89,us,us7000i20q,2022-10-28T02:27:38.040Z,"98 km S of Sidareja, Indonesia",earthquake,6.62,7.297,0.189,8,reviewed,us,us
2022-08-02T13:14:38.939Z,-7.0778,107.5539,133.358,4.5,mb,46,76,0.394,0.61,us,us6000i7g1,2022-10-12T14:49:55.040Z,"5 km SW of Banjaran, Indonesia",earthquake,7.65,3.245,0.115,25,reviewed,us,us
2022-07-16T15:05:16.482Z,-8.0051,107.843,64.42,4.5,mb,35,57,0.571,1,us,us6000i31w,2022-09-27T16:56:53.040Z,"Java, Indonesia",earthquake,7.1,6,0.104,27,reviewed,us,us
2022-07-12T15:14:14.313Z,-8.8854,106.1036,10,4.4,mb,29,130,1.607,0.7,us,us7000hs4f,2022-09-24T21:25:50.040Z,"215 km SSW of Pelabuhanratu, Indonesia",earthquake,4.2,1.9,0.144,14,reviewed,us,us
2022-06-30T21:51:04.945Z,-6.3234,105.4488,138.83,4.2,mb,19,131,2.208,1,us,us6000i01y,2022-09-03T21:03:30.040Z,"42 km W of Labuan, Indonesia",earthquake,4.7,8.9,0.176,9,reviewed,us,us
2022-05-21T13:13:13.055Z,-6.7298,108.9333,257.82,4.3,mb,46,51,1.467,0.87,us,us6000hmws,2022-08-02T19:50:38.040Z,"16 km N of Bulakamba, Indonesia",earthquake,7.9,4.5,0.103,27,reviewed,us,us
2022-05-11T12:11:04.952Z,-6.1018,105.908,160.89,4.4,mb,42,53,2.195,0.83,us,us7000h8km,2022-07-22T18:31:13.040Z,"27 km W of Serang, Indonesia",earthquake,3.7,7.3,0.111,25,reviewed,us,us
2022-05-09T04:50:31.474Z,-8.1576,108.1742,60.73,4.2,mb,31,79,0.864,1.14,us,us6000hlhg,2022-07-22T18:30:56.040Z,"85 km S of Kawalu, Indonesia",earthquake,4,6.1,0.141,14,reviewed,us,us
2022-05-05T07:14:21.185Z,-7.0474,105.3421,58.56,4.5,mb,35,138,2.326,0.63,us,us6000hkl8,2022-07-09T21:40:02.040Z,"91 km SW of Labuan, Indonesia",earthquake,7.9,7.9,0.136,19,reviewed,us,us
2022-04-27T04:00:54.451Z,-7.0578,105.2734,35,4.3,mb,18,146,2.335,0.39,us,us7000h70s,2022-07-05T03:41:14.040Z,"97 km SW of Labuan, Indonesia",earthquake,6.6,2,0.148,13,reviewed,us,us
2022-04-25T17:01:04.793Z,-7.3268,106.5702,59.24,4.5,mb,65,108,1.079,1.25,us,us6000hg9g,2022-07-05T03:40:41.040Z,"37 km S of Pelabuhanratu, Indonesia",earthquake,6.1,5.8,0.084,44,reviewed,us,us
2022-04-24T04:33:02.165Z,-8.1949,109.0837,111.57,4.2,mb,28,55,1.452,0.68,us,us6000hfzn,2022-07-05T03:39:57.040Z,"64 km SSW of Kroya, Indonesia",earthquake,8.1,2,0.132,17,reviewed,us,us
2022-04-09T19:47:45.064Z,-7.5353,105.7017,27.88,4.1,mb,,132,1.933,0.89,us,us7000h1vn,2022-06-20T22:08:06.040Z,"111 km WSW of Pelabuhanratu, Indonesia",earthquake,6.9,6.1,0.145,13,reviewed,us,us
2022-04-05T08:37:13.113Z,-7.2843,106.0083,90.34,4.3,mb,,128,1.637,0.85,us,us7000h0qq,2022-06-11T20:21:16.040Z,"68 km WSW of Pelabuhanratu, Indonesia",earthquake,8.3,7.4,0.138,15,reviewed,us,us
2022-04-01T07:20:12.347Z,-7.0005,105.9354,17.26,4.6,mb,,117,1.762,0.91,us,us7000h061,2022-06-04T20:42:33.040Z,"68 km W of Pelabuhanratu, Indonesia",earthquake,7.1,5.5,0.157,12,reviewed,us,us
2022-04-01T07:14:12.495Z,-7.2524,106.0683,18.52,5.3,mww,,34,1.582,0.94,us,us7000gywf,2022-06-04T20:42:33.040Z,"60 km WSW of Pelabuhanratu, Indonesia",earthquake,6.4,4.2,0.083,14,reviewed,us,us
2022-04-01T04:54:16.244Z,-7.3312,105.8945,10,4.8,mww,,128,1.746,1.17,us,us7000gyvl,2022-06-04T20:42:32.040Z,"81 km WSW of Pelabuhanratu, Indonesia",earthquake,7.4,1.8,0.098,10,reviewed,us,us
2022-03-28T20:36:39.213Z,-6.1741,105.7076,136.38,4.2,mb,,123,2.001,0.81,us,us7000gxxr,2022-06-04T20:42:15.040Z,"26 km NNW of Labuan, Indonesia",earthquake,12.1,7.6,0.147,13,reviewed,us,us
2022-03-27T05:53:51.021Z,-6.4677,106.0679,143.49,4.4,mb,,86,1.855,0.59,us,us7000gxm5,2022-06-04T20:42:08.040Z,"18 km SSW of Pandeglang, Indonesia",earthquake,6.6,7.1,0.087,38,reviewed,us,us
2022-03-19T14:10:18.127Z,-6.8543,105.3922,35,4.6,mb,,48,2.32,0.73,us,us6000h615,2022-05-28T18:35:18.040Z,"71 km SW of Labuan, Indonesia",earthquake,7.9,1.9,0.093,34,reviewed,us,us
2022-03-18T15:04:01.911Z,-8.1649,106.7877,25.19,4.8,mb,,77,1.103,0.98,us,us6000h5q7,2022-05-27T14:55:36.040Z,"128 km SSW of Banjar, Indonesia",earthquake,5.9,5,0.07,63,reviewed,us,us
2022-03-17T20:53:30.403Z,-6.2991,106.4256,149.6,4.6,mb,,46,1.29,1.09,us,us6000h5jd,2022-05-27T14:55:34.040Z,"11 km SW of Cikupa, Indonesia",earthquake,8.4,4.9,0.066,69,reviewed,us,us
2022-03-16T06:11:27.568Z,-7.7346,106.8097,35,4.4,mb,,127,0.875,1.25,us,us6000h6g8,2022-05-27T14:55:40.040Z,"87 km SSE of Pelabuhanratu, Indonesia",earthquake,6,2,0.24,7,reviewed,us,us
2022-03-16T04:06:42.148Z,-7.8224,106.8659,35,4.5,mb,,107,0.855,0.81,us,us6000h6fx,2022-05-27T14:55:40.040Z,"93 km SW of Banjar, Indonesia",earthquake,5.3,1.8,0.205,7,reviewed,us,us
2022-03-16T03:00:03.847Z,-7.6341,107.0324,50.19,5.3,mww,,51,0.635,0.91,us,us6000h4xf,2023-03-16T11:10:49.614Z,"65 km SW of Banjar, Indonesia",earthquake,7,5.3,0.078,16,reviewed,us,us
2022-03-15T16:53:20.995Z,-7.2364,107.4156,13.9,4.2,mb,,200,0.323,0.26,us,us6000h5tr,2022-05-27T14:55:39.040Z,"4 km SSW of Banjar, Indonesia",earthquake,6.1,7,0.214,7,reviewed,us,us
