time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-08T03:25:13.564Z,-8.1948,108.2011,56.118,4.4,mb,16,99,0.91,0.41,us,us7000i8a1,2022-11-15T19:06:19.040Z,"89 km S of Kawalu, Indonesia",earthquake,6.56,8.93,0.203,7,reviewed,us,us
2022-08-14T01:46:08.738Z,-8.3671,108.6747,107.766,4.4,mb,19,76,1.356,0.89,us,us7000i20q,2022-10-28T02:27:38.040Z,"98 km S of Sidareja, Indonesia",earthquake,6.62,7.297,0.189,8,reviewed,us,us
2022-08-02T13:14:38.939Z,-7.0778,107.5539,133.358,4.5,mb,46,76,0.394,0.61,us,us6000i7g1,2022-10-12T14:49:55.040Z,"5 km SW of Banjaran, Indonesia",earthquake,7.65,3.245,0.115,25,reviewed,us,us
2022-07-16T15:05:16.482Z,-8.0051,107.843,64.42,4.5,mb,35,57,0.571,1,us,us6000i31w,2022-09-27T16:56:53.040Z,"Java, Indonesia",earthquake,7.1,6,0.104,27,reviewed,us,us
2022-05-21T13:13:13.055Z,-6.7298,108.9333,257.82,4.3,mb,46,51,1.467,0.87,us,us6000hmws,2022-08-02T19:50:38.040Z,"16 km N of Bulakamba, Indonesia",earthquake,7.9,4.5,0.103,27,reviewed,us,us
2022-05-09T04:50:31.474Z,-8.1576,108.1742,60.73,4.2,mb,31,79,0.864,1.14,us,us6000hlhg,2022-07-22T18:30:56.040Z,"85 km S of Kawalu, Indonesia",earthquake,4,6.1,0.141,14,reviewed,us,us
2022-03-16T03:00:03.847Z,-7.6341,107.0324,50.19,5.3,mww,,51,0.635,0.91,us,us6000h4xf,2023-03-16T11:10:49.614Z,"65 km SW of Banjar, Indonesia",earthquake,7,5.3,0.078,16,reviewed,us,us
2022-03-15T16:53:20.995Z,-7.2364,107.4156,13.9,4.2,mb,,200,0.323,0.26,us,us6000h5tr,2022-05-27T14:55:39.040Z,"4 km SSW of Banjar, Indonesia",earthquake,6.1,7,0.214,7,reviewed,us,us
2022-03-02T22:19:25.704Z,-8.1222,108.8825,95.24,4.3,mb,,95,1.386,0.98,us,us6000h2ty,2022-05-07T21:32:55.040Z,"67 km SW of Kroya, Indonesia",earthquake,7,6.3,0.169,10,reviewed,us,us
2022-03-01T15:12:27.163Z,-8.3929,107.6412,65.6,4.9,mb,,78,0.924,0.89,us,us6000h13s,2022-08-06T09:33:44.651Z,"126 km SSW of Singaparna, Indonesia",earthquake,6.4,5.8,0.075,58,reviewed,us,us
2022-02-02T03:23:01.481Z,-7.9885,107.7884,51.82,4.3,mb,,111,2.709,0.98,us,us7000gj3k,2022-04-15T17:57:25.040Z,"78 km SSW of Singaparna, Indonesia",earthquake,8.7,9.7,0.216,6,reviewed,us,us
2022-01-27T16:03:03.386Z,-8.7278,108.0851,21.15,5,mb,,27,1.328,0.82,us,us7000gfk4,2022-04-09T20:19:11.040Z,"Java, Indonesia",earthquake,2.9,3.8,0.06,94,reviewed,us,us
2021-11-15T11:09:03.146Z,-6.157,108.0175,277.76,4.4,mb,,32,1.347,0.84,us,us7000fu9x,2022-01-22T20:51:53.040Z,"26 km ENE of Pamanukan, Indonesia",earthquake,8,6.5,0.068,62,reviewed,us,us
